index,Survived,Pclass,Age,SibSp,Parch,Fare,Fare_COP,TicketSize_encoded,Sex_female,Sex_male,Emb_C,Emb_Q,Emb_S
0,0,3,-0.5882063405132631,1,0,7.25,-0.5024451714361922,2,false,true,false,false,true
1,1,1,0.7689204972681128,1,0,71.2833,0.7868452935884462,0,true,false,true,false,false
2,1,3,-0.24892463106791915,0,0,7.925,-0.4888542575852485,2,true,false,false,false,true
3,1,1,0.5144592151841049,1,0,53.1,0.4207302360686478,0,true,false,false,false,true
4,0,3,0.5144592151841049,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
5,0,3,-0.07928377634524714,0,0,8.4583,-0.47811642890864364,2,false,true,false,true,false
6,0,1,2.126047335049489,0,0,51.8625,0.3958135606752511,0,false,true,false,false,true
7,0,3,-2.2846148877399832,3,1,21.075,-0.22408312108167933,1,false,true,false,false,true
8,1,3,-0.16410420370658313,0,2,11.1333,-0.4242561406845336,1,true,false,false,false,true
9,1,2,-1.266769759403951,1,0,30.0708,-0.042955502088614164,1,true,false,true,false,false
10,1,3,-2.1149740330173112,1,1,16.7,-0.3121723775229808,1,true,false,false,false,true
11,1,1,2.465329044494833,0,0,26.55,-0.11384570873513629,1,true,false,false,false,true
12,0,3,-0.7578471952359351,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
13,0,3,0.853740924629449,1,5,31.275,-0.018709311778530652,1,false,true,false,false,true
14,0,3,-1.266769759403951,0,0,7.8542,-0.49027979343805855,2,true,false,false,false,true
15,1,2,2.210867762410825,0,0,16.0,-0.3262666585535891,1,true,false,false,false,true
16,0,3,-2.2846148877399832,4,1,29.125,-0.061998889229684544,1,false,true,false,true,false
17,1,2,-0.07928377634524714,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
18,0,3,0.17517750573876087,1,0,18.0,-0.2859972841804227,1,true,false,false,false,true
19,1,3,-0.07928377634524714,0,0,7.225,-0.5029485386158568,2,true,false,true,false,false
20,0,2,0.5144592151841049,0,0,26.0,-0.12491978668775705,1,false,true,false,false,true
21,1,2,0.4296387878227689,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
22,1,3,-1.181949332042615,0,0,8.0292,-0.4867562231804065,2,true,false,false,true,false
23,1,1,-0.07928377634524714,0,0,35.5,0.06635974158478339,1,false,true,false,false,true
24,0,3,-1.7756923235719673,3,1,21.075,-0.22408312108167933,1,true,false,false,false,true
25,1,3,0.7689204972681128,1,5,31.3875,-0.01644415947004004,1,true,false,false,false,true
26,0,3,-0.07928377634524714,0,0,7.225,-0.5029485386158568,2,false,true,true,false,false
27,0,1,-0.8426676225972711,3,2,263.0,4.6470010765324625,0,false,true,false,false,true
28,1,3,-0.07928377634524714,0,0,7.8792,-0.48977642625839396,2,true,false,false,true,false
29,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
30,0,1,-0.07928377634524714,0,0,27.7208,-0.09027201697708469,1,false,true,true,false,false
31,1,1,-0.07928377634524714,1,0,146.5208,2.3017288207890005,0,true,false,true,false,false
32,1,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,true,false,false,true,false
33,0,2,-0.07928377634524714,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
34,0,1,-0.07928377634524714,1,0,82.1708,1.0060617003323709,0,false,true,true,false,false
35,0,1,1.108202206713457,1,0,52.0,0.39858208016340624,0,false,true,false,false,true
36,1,3,-0.07928377634524714,0,0,7.2292,-0.502863972929673,2,false,true,true,false,false
37,0,3,-0.6730267678745991,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
38,0,3,-0.9274880499586071,2,0,18.0,-0.2859972841804227,1,true,false,false,false,true
39,1,3,-0.07928377634524714,1,0,11.2417,-0.42207354059350793,1,true,false,true,false,false
40,0,3,0.9385613519907849,1,0,9.475,-0.4576454924460445,2,true,false,false,false,true
41,0,2,-0.16410420370658313,1,0,21.0,-0.22559322262067308,1,true,false,false,false,true
42,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
43,1,2,-2.199794460378647,1,2,41.5792,0.18876253192945994,1,true,false,true,false,false
44,1,3,-0.07928377634524714,0,0,7.8792,-0.48977642625839396,2,true,false,false,true,false
45,0,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
46,0,3,-0.07928377634524714,1,0,15.5,-0.3363340021468807,1,false,true,false,true,false
47,1,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,true,false,false,true,false
48,0,3,-0.07928377634524714,2,0,21.6792,-0.21191774308354575,1,false,true,true,false,false
49,0,3,-0.07928377634524714,1,0,17.8,-0.29002422161773933,1,true,false,false,false,true
50,0,3,-1.8605127509333033,4,1,39.6875,0.15067374417860055,1,false,true,false,false,true
51,0,3,-0.6730267678745991,0,0,7.8,-0.4913710934835714,2,false,true,false,false,true
52,1,1,1.7019451982428089,1,0,76.7292,0.8964967865378599,0,true,false,true,false,false
53,1,2,0.005536651016088867,1,0,26.0,-0.12491978668775705,1,true,false,false,false,true
54,0,1,3.0590720360241845,0,1,61.9792,0.5995101505357573,0,false,true,true,false,false
55,1,1,-0.07928377634524714,0,0,35.5,0.06635974158478339,1,false,true,false,false,true
56,1,2,-0.6730267678745991,0,0,10.5,-0.4370074380797967,1,true,false,false,false,true
57,0,3,-0.03687356266457913,0,0,7.2292,-0.502863972929673,2,false,true,true,false,false
58,1,2,-2.030153605655975,1,2,27.75,-0.08968408411123645,1,true,false,false,false,true
59,0,3,-1.5212310414879593,5,2,46.9,0.2958951755118319,1,false,true,false,false,true
60,0,3,-0.5882063405132631,0,0,7.2292,-0.502863972929673,2,false,true,true,false,false
61,1,1,0.7689204972681128,0,0,80.0,0.962353321387736,0,true,false,false,false,true
62,0,1,1.362663488797465,1,0,83.475,1.0323213593611127,0,false,true,false,false,true
63,0,3,-0.07928377634524714,3,2,27.9,-0.08666388103324897,1,false,true,false,false,true
64,0,1,-0.07928377634524714,0,0,27.7208,-0.09027201697708469,1,false,true,true,false,false
65,1,3,-0.07928377634524714,1,1,15.2458,-0.34145223962971016,1,false,true,false,false,true
66,1,2,-0.07928377634524714,0,0,10.5,-0.4370074380797967,1,true,false,false,false,true
67,0,3,-0.07928377634524714,0,0,8.1583,-0.4841568350646186,2,false,true,false,false,true
68,1,3,-1.0123084773199431,4,2,7.925,-0.4888542575852485,2,true,false,false,false,true
69,0,3,-0.24892463106791915,2,0,8.6625,-0.47400492578514336,2,false,true,false,false,true
70,0,2,-0.07928377634524714,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
71,0,3,-1.097128904681279,5,2,46.9,0.2958951755118319,1,true,false,false,false,true
72,0,2,-0.07928377634524714,0,0,73.5,0.8314778546749452,0,false,true,false,false,true
73,0,3,-0.24892463106791915,1,0,14.4542,-0.3573908580066094,1,false,true,true,false,false
74,1,3,0.2599979331000969,0,0,56.4958,0.48910360681684706,0,false,true,false,false,true
75,0,3,-0.33374505842925517,0,0,7.65,-0.49439129656155884,2,false,true,false,false,true
76,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
77,0,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
78,1,2,-0.07928377634524714,0,2,29.0,-0.06451572512800745,1,false,true,false,false,true
79,1,3,0.09035707837742488,0,0,12.475,-0.3972414308862949,1,true,false,false,false,true
80,0,3,-0.5882063405132631,0,0,9.0,-0.4672094688596715,2,false,true,false,false,true
81,1,3,0.005536651016088867,0,0,9.5,-0.45714212526637993,2,false,true,false,false,true
82,1,3,-0.07928377634524714,0,0,7.7875,-0.4916227770734037,2,true,false,false,false,true
83,0,1,-0.07928377634524714,0,0,47.1,0.29992211294914856,1,false,true,false,false,true
84,1,2,-1.0123084773199431,0,0,10.5,-0.4370074380797967,1,true,false,false,false,true
85,1,3,0.3448183604614329,3,0,15.85,-0.32928686163157656,1,true,false,false,false,true
86,0,3,-0.07928377634524714,1,3,34.375,0.04370821849987728,1,false,true,false,false,true
87,0,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
88,1,1,-0.5033859131519272,3,2,263.0,4.6470010765324625,0,true,false,false,false,true
89,0,3,-0.41856548579059116,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
90,0,3,0.005536651016088867,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
91,0,3,-0.7578471952359351,0,0,7.8542,-0.49027979343805855,2,false,true,false,false,true
92,0,1,1.447483916158801,1,0,61.175,0.5833178351003071,0,false,true,false,false,true
93,0,3,-0.24892463106791915,1,2,20.575,-0.23415046467497094,1,false,true,false,false,true
94,0,3,2.550149471856169,0,0,7.25,-0.5024451714361922,2,false,true,false,false,true
95,0,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
96,0,1,-0.07928377634524714,0,0,34.6542,0.049329823162371396,1,false,true,true,false,false
97,1,1,-0.5033859131519272,0,1,63.3583,0.6272778976347743,0,false,true,true,false,false
98,1,2,0.4296387878227689,0,1,23.0,-0.18532384824750667,1,true,false,false,false,true
99,0,2,0.4296387878227689,1,0,26.0,-0.12491978668775705,1,false,true,false,false,true
100,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,true,false,false,false,true
101,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
102,0,1,-0.6730267678745991,0,1,77.2875,0.9077379823941291,0,false,true,false,false,true
103,0,3,0.3448183604614329,0,0,8.6542,-0.47417204368879196,2,false,true,false,false,true
104,0,3,0.6841000699067769,2,0,7.925,-0.4888542575852485,2,false,true,false,false,true
105,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
106,1,3,-0.6730267678745991,0,0,7.65,-0.49439129656155884,2,true,false,false,false,true
107,1,3,-0.07928377634524714,0,0,7.775,-0.4918744606632359,2,false,true,false,false,true
108,0,3,0.7689204972681128,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
109,1,3,-0.07928377634524714,1,0,24.15,-0.16216895798293599,1,true,false,false,false,true
110,0,1,-0.07928377634524714,0,0,52.0,0.39858208016340624,0,false,true,false,false,true
111,0,3,-1.2243595457232832,1,0,14.4542,-0.3573908580066094,1,true,false,false,false,true
112,0,3,-0.5882063405132631,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
113,0,3,-0.7578471952359351,1,0,9.825,-0.4505983519307404,2,true,false,false,false,true
114,0,3,-1.0123084773199431,0,0,14.4583,-0.3573083057891444,1,true,false,true,false,false
115,0,3,-0.6730267678745991,0,0,7.925,-0.4888542575852485,2,false,true,false,false,true
116,0,3,3.525584386511533,0,0,7.75,-0.4923778278429005,2,false,true,false,true,false
117,0,2,0.005536651016088867,1,0,21.0,-0.22559322262067308,1,false,true,false,false,true
118,0,1,-0.41856548579059116,0,1,247.5208,4.335332226633904,0,false,true,true,false,false
119,0,3,-2.2846148877399832,4,2,31.275,-0.018709311778530652,1,true,false,false,false,true
120,0,2,-0.07928377634524714,2,0,73.5,0.8314778546749452,0,false,true,false,false,true
121,0,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
122,0,2,0.3024081467807649,1,0,30.0708,-0.042955502088614164,1,false,true,true,false,false
123,1,2,0.3024081467807649,0,0,13.0,-0.3866707201133387,1,true,false,false,false,true
124,0,1,2.126047335049489,0,1,77.2875,0.9077379823941291,0,false,true,false,false,true
125,1,3,-1.436410614126623,1,0,11.2417,-0.42207354059350793,1,false,true,false,false,true
126,0,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,false,true,false,true,false
127,1,3,-0.41856548579059116,0,0,7.1417,-0.5046257580584991,2,false,true,false,false,true
128,1,3,-0.07928377634524714,1,1,22.3583,-0.1982442770151371,1,true,false,true,false,false
129,0,3,1.362663488797465,0,0,6.975,-0.5079822104125025,2,false,true,false,false,true
130,0,3,0.3448183604614329,0,0,7.8958,-0.4894421904510967,2,false,true,true,false,false
131,0,3,-0.7578471952359351,0,0,7.05,-0.5064721088735088,2,false,true,false,false,true
132,0,3,1.532304343520137,1,0,14.5,-0.35646868933346393,1,true,false,false,false,true
133,1,2,0.005536651016088867,1,0,26.0,-0.12491978668775705,1,true,false,false,false,true
134,0,2,-0.33374505842925517,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
135,0,2,-0.5033859131519272,0,0,15.0458,-0.3454791770670268,1,false,true,true,false,false
136,1,1,-0.07928377634524714,0,2,26.2833,-0.11921562980779805,1,true,false,false,false,true
137,0,1,-0.07928377634524714,1,0,53.1,0.4207302360686478,0,false,true,false,false,true
138,0,3,-1.097128904681279,0,0,9.2167,-0.46284628214633894,2,false,true,false,false,true
139,0,1,-0.07928377634524714,0,0,79.2,0.9462455716384695,0,false,true,true,false,false
140,0,3,-0.07928377634524714,0,2,15.2458,-0.34145223962971016,1,true,false,true,false,false
141,1,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,true,false,false,false,true
142,1,3,-0.41856548579059116,1,0,15.85,-0.32928686163157656,1,true,false,false,false,true
143,0,3,-0.8426676225972711,0,0,6.75,-0.5125125150294837,2,false,true,false,true,false
144,0,2,-0.9274880499586071,0,0,11.5,-0.4168727508932135,1,false,true,false,false,true
145,0,2,-0.8426676225972711,1,1,36.75,0.09152810056801239,1,false,true,false,false,true
146,1,3,-0.16410420370658313,0,0,7.7958,-0.49145565916975503,2,false,true,false,false,true
147,0,3,-1.6908718962106313,2,2,34.375,0.04370821849987728,1,true,false,false,false,true
148,0,2,0.6416898562261089,0,2,26.0,-0.12491978668775705,1,false,true,false,false,true
149,0,2,1.108202206713457,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
150,0,2,1.8715860529654809,0,0,12.525,-0.39623469652696575,1,false,true,false,false,true
151,1,1,-0.5882063405132631,1,0,66.6,0.6925485130875211,0,true,false,false,false,true
152,0,3,2.253277976091493,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
153,0,3,0.9809715656714529,0,2,14.5,-0.35646868933346393,1,false,true,false,false,true
154,0,3,-0.07928377634524714,0,0,7.3125,-0.5011867534870307,2,false,true,false,false,true
155,0,1,1.8715860529654809,0,1,61.3792,0.5874293382238074,0,false,true,true,false,false
156,1,3,-1.097128904681279,0,0,7.7333,-0.49271407711891646,2,true,false,false,true,false
157,0,3,0.09035707837742488,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
158,0,3,-0.07928377634524714,0,0,8.6625,-0.47400492578514336,2,false,true,false,false,true
159,0,3,-0.07928377634524714,8,2,69.55,0.7519458402879415,0,false,true,false,false,true
160,0,3,1.277843061436129,0,1,16.1,-0.32425318983493073,1,false,true,false,false,true
161,1,2,0.9385613519907849,0,0,15.75,-0.3313003303502349,1,true,false,false,false,true
162,0,3,-0.24892463106791915,0,0,7.775,-0.4918744606632359,2,false,true,false,false,true
163,0,3,-1.0123084773199431,0,0,8.6625,-0.47400492578514336,2,false,true,false,false,true
164,0,3,-2.369435315101319,4,1,39.6875,0.15067374417860055,1,false,true,false,false,true
165,1,3,-0.07928377634524714,0,2,20.525,-0.2351571990343001,1,false,true,false,false,true
166,1,1,-0.07928377634524714,0,1,55.0,0.4589861417231559,0,true,false,false,false,true
167,0,3,1.362663488797465,1,4,27.9,-0.08666388103324897,1,true,false,false,false,true
168,0,1,-0.07928377634524714,0,0,25.925,-0.1264298882267508,1,false,true,false,false,true
169,0,3,-0.07928377634524714,0,0,56.4958,0.48910360681684706,0,false,true,false,false,true
170,0,1,2.7197903265788406,0,0,33.5,0.026090367211616977,1,false,true,false,false,true
171,0,3,-2.1149740330173112,4,1,29.125,-0.061998889229684544,1,false,true,false,true,false
172,1,3,-2.369435315101319,1,1,11.1333,-0.4242561406845336,1,true,false,false,false,true
173,0,3,-0.6730267678745991,0,0,7.925,-0.4888542575852485,2,false,true,false,false,true
174,0,1,-0.07928377634524714,0,0,30.6958,-0.03037132259699966,1,false,true,true,false,false
175,0,3,-0.9274880499586071,1,1,7.8542,-0.49027979343805855,2,false,true,false,false,true
176,0,3,-0.07928377634524714,3,1,25.4667,-0.13565761536436186,1,false,true,false,false,true
177,0,1,1.7867656256041449,0,0,28.7125,-0.07030444769415012,1,true,false,true,false,false
178,0,2,0.09035707837742488,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
179,0,3,0.5992796425454409,0,0,0.0,-0.6484216535389203,3,false,true,false,false,true
180,0,3,-0.07928377634524714,8,2,69.55,0.7519458402879415,0,true,false,false,false,true
181,0,2,-0.07928377634524714,0,0,15.05,-0.34539461138084315,1,false,true,true,false,false
182,0,3,-1.6908718962106313,4,2,31.3875,-0.01644415947004004,1,false,true,false,false,true
183,1,2,-2.369435315101319,2,1,39.0,0.1368311467378246,1,false,true,false,false,true
184,1,3,-2.1149740330173112,0,2,22.025,-0.20495516825442528,1,true,false,false,false,true
185,0,1,-0.07928377634524714,0,0,50.0,0.3583127057902398,1,false,true,false,false,true
186,1,3,-0.07928377634524714,1,0,15.5,-0.3363340021468807,1,true,false,false,true,false
187,1,1,1.362663488797465,0,0,26.55,-0.11384570873513629,1,false,true,false,false,true
188,0,3,0.9385613519907849,1,1,15.5,-0.3363340021468807,1,false,true,false,true,false
189,0,3,0.5992796425454409,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
190,1,2,0.2599979331000969,0,0,13.0,-0.3866707201133387,1,true,false,false,false,true
191,0,2,-0.8426676225972711,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
192,1,3,-0.07928377634524714,1,0,7.8542,-0.49027979343805855,2,true,false,false,false,true
193,1,2,-2.199794460378647,1,1,26.0,-0.12491978668775705,1,false,true,false,false,true
194,1,1,1.277843061436129,0,0,27.7208,-0.09027201697708469,1,true,false,true,false,false
195,1,1,2.465329044494833,0,0,146.5208,2.3017288207890005,0,true,false,true,false,false
196,0,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,false,true,false,true,false
197,0,3,1.108202206713457,0,1,8.4042,-0.4792057154854378,2,false,true,false,false,true
198,1,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,true,false,false,true,false
199,0,2,-0.41856548579059116,0,0,13.0,-0.3866707201133387,1,true,false,false,false,true
200,0,3,-0.07928377634524714,0,0,9.5,-0.45714212526637993,2,false,true,false,false,true
201,0,3,-0.07928377634524714,8,2,69.55,0.7519458402879415,0,false,true,false,false,true
202,0,3,0.4296387878227689,0,0,6.4958,-0.5176307525123132,2,false,true,false,false,true
203,0,3,1.405073702478133,0,0,7.225,-0.5029485386158568,2,false,true,true,false,false
204,1,3,-0.07928377634524714,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
205,0,3,-2.2846148877399832,0,1,10.4625,-0.4377624888492936,1,true,false,false,false,true
206,0,3,0.2599979331000969,1,0,15.85,-0.32928686163157656,1,false,true,false,false,true
207,1,3,-0.24892463106791915,0,0,18.7875,-0.2701412180209884,1,false,true,true,false,false
208,1,3,-0.07928377634524714,0,0,7.75,-0.4923778278429005,2,true,false,false,true,false
209,1,1,-0.07928377634524714,0,0,31.0,-0.024246350754841033,1,false,true,true,false,false
210,0,3,-0.07928377634524714,0,0,7.05,-0.5064721088735088,2,false,true,false,false,true
211,1,2,-0.07928377634524714,0,0,21.0,-0.22559322262067308,1,true,false,false,false,true
212,0,3,-0.5882063405132631,0,0,7.25,-0.5024451714361922,2,false,true,false,false,true
213,0,2,-0.07928377634524714,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
214,0,3,-0.07928377634524714,1,0,7.75,-0.4923778278429005,2,false,true,false,true,false
215,1,1,-0.07928377634524714,1,0,113.275,1.6323350375212922,0,true,false,true,false,false
216,1,3,-0.16410420370658313,0,0,7.925,-0.4888542575852485,2,true,false,false,false,true
217,0,2,1.108202206713457,1,0,27.0,-0.10478509950117385,1,false,true,false,false,true
218,1,1,-0.07928377634524714,0,0,76.2917,0.8876878608937298,0,true,false,true,false,false
219,0,2,0.09035707837742488,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
220,1,3,-1.097128904681279,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
221,0,2,-0.16410420370658313,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
222,0,3,1.8715860529654809,0,0,8.05,-0.48633742168692556,2,false,true,false,false,true
223,0,3,-0.07928377634524714,0,0,7.8958,-0.4894421904510967,2,false,true,false,false,true
224,1,1,0.7689204972681128,1,0,90.0,1.163700193253568,0,false,true,false,false,true
225,0,3,-0.5882063405132631,0,0,9.35,-0.4601623283443674,2,false,true,false,false,true
226,1,2,-0.8426676225972711,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
227,0,3,-0.07928377634524714,0,0,7.25,-0.5024451714361922,2,false,true,false,false,true
228,0,2,-0.9274880499586071,0,0,13.0,-0.3866707201133387,1,false,true,false,false,true
229,0,3,-0.07928377634524714,3,1,25.4667,-0.13565761536436186,1,true,false,false,false,true
230,1,1,0.5144592151841049,1,0,83.475,1.0323213593611127,0,true,false,false,false,true
231,0,3,-0.07928377634524714,0,0,7.775,-0.4918744606632359,2,false,true,false,false,true
232,0,2,2.550149471856169,0,0,13.5,-0.3766033765200471,1,false,true,false,false,true
233,1,3,-2.030153605655975,4,2,31.3875,-0.01644415947004004,1,true,false,false,false,true
234,0,2,-0.41856548579059116,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
235,0,3,-0.07928377634524714,0,0,7.55,-0.49640476528021715,2,true,false,false,false,true
236,0,2,1.277843061436129,1,0,26.0,-0.12491978668775705,1,false,true,false,false,true
237,1,2,-1.7756923235719673,0,2,26.25,-0.11988611489111126,1,true,false,false,false,true
238,0,2,-0.8426676225972711,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
239,0,2,0.3448183604614329,0,0,12.275,-0.4012683683236115,1,false,true,false,false,true
240,0,3,-0.07928377634524714,1,0,14.4542,-0.3573908580066094,1,true,false,true,false,false
241,1,3,-0.07928377634524714,1,0,15.5,-0.3363340021468807,1,true,false,false,true,false
242,0,2,0.005536651016088867,0,0,10.5,-0.4370074380797967,1,false,true,false,false,true
243,0,3,-0.5882063405132631,0,0,7.125,-0.504962007334515,2,false,true,false,false,true
244,0,3,-0.07928377634524714,0,0,7.225,-0.5029485386158568,2,false,true,true,false,false
245,0,1,1.277843061436129,2,0,90.0,1.163700193253568,0,false,true,false,true,false
246,0,3,-0.33374505842925517,0,0,7.775,-0.4918744606632359,2,true,false,false,false,true
247,1,2,-0.41856548579059116,0,2,14.5,-0.35646868933346393,1,true,false,false,false,true
248,1,1,0.6841000699067769,1,1,52.5542,0.4097407238022106,0,false,true,false,false,true
249,0,2,2.126047335049489,1,0,26.0,-0.12491978668775705,1,false,true,false,false,true
